Reference #,Incident ID,Assigned Account,Severity,Status,Status Type,Subject,Product ID,Organisation ID,Date Closed,Date Created,Contact ID,Category ID
100825-000001,2554,Stephen Pickett,No Value,Solved,Solved,A4e Professional Services work,No Value,1,25-08-2010 12:00,25-08-2010 12:00,573,No Value
101004-000000,2601,Adam Wilkinson,No Value,Solved,Solved,Measuring effectiveness increases effectiveness,No Value,29,11-01-2011 12:07,04-10-2010 09:22,402,No Value
101102-000000,2619,Stephen Pickett,No Value,Solved,Solved,Infoco Answer Export Tool,RightNow,560,02-11-2010 12:05,02-11-2010 12:05,2157,No Value
101102-000001,2620,Chris Farmer,Medium,Solved,Solved,THA: The Family Information Direct/Helplines Standard Pilot Site,No Value,562,24-02-2011 13:56,02-11-2010 12:46,2144,No Value
101105-000000,2632,Alan Cheng,Medium,Solved,Solved,incident screen freezing incident - Ref 100924-000040,Instance Freezing,473,16-02-2011 15:09,05-11-2010 09:50,1983,No Value
110105-000000,2653,Chris Farmer,Low,Solved,Solved,Turn2us E-mail reconfiguration,No Value,27,05-01-2011 15:12,05-01-2011 15:12,1065,No Value
110112-000000,2655,Alan Cheng,Medium,Solved,Solved,Phone on Mandy's desk not working,Other,473,12-01-2011 11:04,12-01-2011 10:36,1243,No Value
110113-000011,2666,Alan Cheng,High,Solved,Solved,No Access to Rightnow on my computer,Other,473,14-01-2011 09:44,13-01-2011 23:21,2722,No Value
110114-000001,2668,Alan Cheng,High,Solved,Solved,Together Site Build,No Value,90,24-02-2011 14:04,14-01-2011 11:03,2520,No Value
110114-000002,2669,Alan Cheng,High,Solved,Solved,BTB Right Now,Other,473,14-01-2011 12:55,14-01-2011 12:52,2713,No Value
110115-000000,2670,Chris Farmer,High,Solved,Solved,Laptop Cal019,Other,473,15-01-2011 13:08,15-01-2011 11:15,2715,No Value
110117-000000,2672,Alan Cheng,High,Solved,Solved,Outlook,Outlook,473,17-01-2011 10:25,17-01-2011 09:57,2713,No Value
110117-000001,2673,Alan Cheng,Urgent,Solved,Solved,Shoreware Agent manager,Other,473,17-01-2011 12:09,17-01-2011 11:59,2713,No Value
110117-000002,2674,Stephen Pickett,Urgent,Solved,Solved,Patrick has an issue logging in to CASupport,Other,473,17-01-2011 13:08,17-01-2011 13:08,1934,No Value
110117-000003,2675,Chris Farmer,Urgent,Solved,Solved,Phone Recorder not working,Communicator,473,18-01-2011 16:42,17-01-2011 13:25,2714,No Value
